Correction,StageVar,Group,Clock,n,mean,sd,median,q1,q3,min,max
ComBat,Progression3,Healthy,Hannum,302,1.79,5.18,2.07,-1.12,4.84,-17.81,15.61
ComBat,Progression3,Mild disease,Hannum,143,-2.06,7.56,-0.55,-5.15,2.77,-36.38,10.22
ComBat,Progression3,Advanced fibrosis,PCHannum,120,0.54,4.62,0.13,-2.73,3.54,-12.1,14.43
ComBat,Progression3,Healthy,PCHannum,302,-0.48,5.52,-0.42,-4.21,3.14,-13.7,15.53
ComBat,Progression3,Mild disease,PCHannum,143,0.56,5.97,0.47,-3.37,4.17,-15.06,16.83
ComBat,Progression3,Advanced fibrosis,PhenoAge,120,4.37,6.85,4.23,-0.13,9.21,-12.6,25.47
ComBat,Progression3,Healthy,PhenoAge,302,-1.95,7.3,-2.03,-6.77,2.96,-23.37,19.3
ComBat,Progression3,Mild disease,PhenoAge,143,0.44,8.07,0.58,-4.63,4.91,-24.97,28.86
ComBat,Progression3,Advanced fibrosis,PCPhenoAge,120,-1.78,6.65,-1.39,-6.51,2.72,-17.93,18.09
ComBat,Progression3,Healthy,PCPhenoAge,302,0.48,6.48,0.32,-3.59,4.69,-16.19,17.31
ComBat,Progression3,Mild disease,PCPhenoAge,143,0.49,7.06,0.81,-3.53,4.44,-18.35,18.86
ComBat,Progression3,Advanced fibrosis,GrimAgeV1,120,1.59,3.24,1.89,-0.48,3.78,-8.02,9.55
ComBat,Progression3,Healthy,GrimAgeV1,302,-0.52,2.99,-0.57,-2.68,1.39,-7.12,12.6
ComBat,Progression3,Mild disease,GrimAgeV1,143,-0.24,3.07,-0.32,-2.25,1.74,-8.18,9.98
ComBat,Progression3,Advanced fibrosis,PCGrimAge,120,0.32,1.57,0.09,-0.9,1.59,-2.64,4.26
ComBat,Progression3,Healthy,PCGrimAge,302,-0.32,1.85,-0.52,-1.62,0.84,-5.87,5.18
ComBat,Progression3,Mild disease,PCGrimAge,143,0.41,2.11,0.05,-1.15,1.8,-3.47,8.81
ComBat,Progression3,Advanced fibrosis,HepClock,120,4.53,4.72,4.14,1.49,7.24,-6.44,19.57
ComBat,Progression3,Healthy,HepClock,302,-1.29,5.66,-0.87,-4.55,2.04,-29.32,12.7
ComBat,Progression3,Mild disease,HepClock,143,-1.07,7.5,-1.96,-5.18,2.08,-25.69,32.71
ComBat,Progression3,Advanced fibrosis,LiverClock,120,4.04,3.89,4.14,1.99,6.2,-5.35,15.28
ComBat,Progression3,Healthy,LiverClock,302,-0.54,4.85,0.04,-3.47,3.01,-21.63,11.91
ComBat,Progression3,Mild disease,LiverClock,143,-2.26,5.98,-2.71,-6.67,0.49,-18.3,25.41
Raw,DiseaseGroup,Advanced fibrosis,Horvath1,120,2.69,4.66,3.16,-0.64,5.81,-11.23,15.38
Raw,DiseaseGroup,Healthy,Horvath1,74,-3.34,6.67,-3.51,-6.63,0.64,-24.3,15.27
Raw,DiseaseGroup,Healthy obese,Horvath1,228,-1.62,4.14,-1.32,-4.43,1.09,-14.61,9.74
Raw,DiseaseGroup,MASH,Horvath1,79,3.34,5.63,3.78,0.97,5.89,-12.37,30.89
Raw,DiseaseGroup,MASL,Horvath1,50,0.09,8.42,-0.52,-5.27,4.65,-15.57,30.5
Raw,DiseaseGroup,Mild fibrosis,Horvath1,14,1.84,11.62,1.64,-6.25,4.32,-12.92,33.83
